TOC (%),Moisture (%),Temp (C),Pres. (MPa),CO2 Excess Sorption (cm3/gr)
1.66,1.42,50,0.4413,0.0468
1.66,1.42,50,0.9308,0.0842
1.66,1.42,50,1.4617,0.1186
1.66,1.42,50,2.8337,0.2246
1.66,1.42,50,5.7158,0.3682
1.66,1.42,50,8.5978,0.4805
1.66,1.42,50,11.4039,0.5429
1.66,1.42,50,15.4718,0.6146
1.66,1.42,50,20.243,0.6427
0.44,0.66,50,0.4551,0.0156
0.44,0.66,50,0.9239,0.0312
0.44,0.66,50,1.4893,0.0468
0.44,0.66,50,2.9027,0.078
0.44,0.66,50,5.8537,0.131
0.44,0.66,50,8.7977,0.1529
0.44,0.66,50,11.5901,0.1778
0.44,0.66,50,15.6166,0.1997
0.44,0.66,50,20.4154,0.2122
0.09,1.51,38,0.4137,0.0218
0.09,1.51,38,0.7998,0.0374
0.09,1.51,38,1.2411,0.053
0.09,1.51,38,1.7237,0.0686
0.09,1.51,38,2.2132,0.0874
0.09,1.51,38,2.6959,0.1061
0.09,1.51,38,3.3233,0.1373
0.09,1.51,38,4.0196,0.209
0.09,1.51,38,5.178,0.259
0.09,1.51,38,6.5155,0.2933
0.09,1.51,38,8.9908,0.3401
0.09,1.51,38,12.5485,0.4025
0.09,1.51,38,15.5408,0.4337
3.25,1.47,38,0.2758,0.0187
3.25,1.47,38,0.6688,0.0437
3.25,1.47,38,1.1238,0.0718
3.25,1.47,38,1.5996,0.1061
3.25,1.47,38,2.0822,0.1279
3.25,1.47,38,2.5717,0.1654
3.25,1.47,38,3.6956,0.2246
3.25,1.47,38,5.047,0.2746
3.25,1.47,38,6.4673,0.3245
3.25,1.47,38,7.9152,0.3744
3.25,1.47,38,9.0459,0.4118
3.25,1.47,38,11.8314,0.493
3.25,1.47,38,15.5201,0.571
0.38,1.87,38,0.2689,0.0016
0.38,1.87,38,0.6688,0.0156
0.38,1.87,38,1.117,0.0218
0.38,1.87,38,1.5858,0.0312
0.38,1.87,38,2.0615,0.0718
0.38,1.87,38,2.5511,0.0749
0.38,1.87,38,3.1647,0.0905
0.38,1.87,38,3.8886,0.131
0.38,1.87,38,5.0745,0.1373
0.38,1.87,38,6.4328,0.2028
0.38,1.87,38,7.86,0.2122
0.38,1.87,38,9.0115,0.2371
0.38,1.87,38,12.2796,0.287
0.75,0.59,38,0.4068,0.025
0.75,0.59,38,0.8412,0.0374
0.75,0.59,38,1.2893,0.0468
0.75,0.59,38,1.7375,0.0624
0.75,0.59,38,2.2132,0.0967
0.75,0.59,38,2.6959,0.1154
0.75,0.59,38,3.3026,0.131
0.75,0.59,38,4.0472,0.1435
0.75,0.59,38,5.2262,0.1622
0.75,0.59,38,6.5776,0.1997
0.75,0.59,38,7.5567,0.2434
0.75,0.59,38,11.5694,0.2902
0.75,0.59,38,15.527,0.3682
4.48,0.77,38,0.3861,0.0686
4.48,0.77,38,0.8136,0.131
4.48,0.77,38,1.2893,0.1903
4.48,0.77,38,1.7788,0.2434
4.48,0.77,38,2.2753,0.2683
4.48,0.77,38,2.7717,0.3026
4.48,0.77,38,3.9093,0.3682
4.48,0.77,38,5.2607,0.4118
4.48,0.77,38,6.6879,0.4961
4.48,0.77,38,8.0324,0.5741
4.48,0.77,38,11.3832,0.6396
4.48,0.77,38,14.5755,0.6739
1.11,1.24,70,0.4344,0.025
1.11,1.24,70,0.7998,0.0686
1.11,1.24,70,1.5444,0.1154
1.11,1.24,70,2.9234,0.1778
1.11,1.24,70,5.7158,0.2714
1.11,1.24,70,8.4806,0.3432
1.11,1.24,70,12.3485,0.3962
1.11,1.24,70,16.3682,0.4274
1.11,1.24,70,20.4636,0.4493
4.03,0.26,85,0.8825,0.0655
4.03,0.26,85,1.6272,0.1279
4.03,0.26,85,3.1716,0.209
4.03,0.26,85,6.2053,0.3151
4.03,0.26,85,9.2045,0.4087
4.03,0.26,85,13.0794,0.4586
4.03,0.26,85,17.4644,0.5023
4.03,0.26,85,22.863,0.5741
4.03,0.26,85,27.8617,0.599
1.73,0.55,67,0.8618,0.0562
1.73,0.55,67,1.6203,0.1061
1.73,0.55,67,3.1854,0.1685
1.73,0.55,67,6.3363,0.2683
1.73,0.55,67,9.2045,0.3089
1.73,0.55,67,13.1207,0.3682
1.73,0.55,67,17.2921,0.415
1.73,0.55,67,22.539,0.4306
1.73,0.55,67,27.6618,0.4462
0.45,0.61,80,0.786,0.0156
0.45,0.61,80,1.4962,0.0406
0.45,0.61,80,2.9372,0.0624
0.45,0.61,80,5.7778,0.0874
0.45,0.61,80,8.7081,0.1092
0.45,0.61,80,12.6588,0.1279
0.45,0.61,80,16.8508,0.1466
0.45,0.61,80,21.229,0.156
0.45,0.61,80,27.1309,0.1591
1.36,0.2,82,0.7722,0.0437
1.36,0.2,82,1.4893,0.0874
1.36,0.2,82,2.9303,0.1342
1.36,0.2,82,5.764,0.2028
1.36,0.2,82,8.7081,0.2714
1.36,0.2,82,12.7139,0.3245
1.36,0.2,82,16.906,0.3494
1.36,0.2,82,21.229,0.3775
1.36,0.2,82,27.0619,0.415
2.84,0.92,72,0.8136,0.053
2.84,0.92,72,1.5444,0.1061
2.84,0.92,72,2.9647,0.1966
2.84,0.92,72,5.8123,0.2995
2.84,0.92,72,8.6253,0.3744
2.84,0.92,72,12.445,0.4243
2.84,0.92,72,16.7267,0.4836
2.84,0.92,72,21.6909,0.5054
2.84,0.92,72,26.2346,0.5242
1.29,0.26,72,0.8136,0.0468
1.29,0.26,72,1.5513,0.078
1.29,0.26,72,2.9647,0.1342
1.29,0.26,72,5.7985,0.2059
1.29,0.26,72,8.646,0.2402
1.29,0.26,72,12.4657,0.287
1.29,0.26,72,16.7681,0.3026
1.29,0.26,72,21.7461,0.3307
1.29,0.26,72,26.1863,0.3619
2.34,1.72,67,0.4413,0.0499
2.34,1.72,67,0.8412,0.0874
2.34,1.72,67,1.5168,0.156
2.34,1.72,67,2.5924,0.2278
2.34,1.72,67,3.6542,0.2808
2.34,1.72,67,5.7985,0.3401
2.34,1.72,67,8.5357,0.3838
2.34,1.72,67,11.2522,0.4368
2.34,1.72,67,15.2374,0.4555
0.59,1.12,51,0.4344,0.0312
0.59,1.12,51,0.8274,0.078
0.59,1.12,51,1.4893,0.131
0.59,1.12,51,2.558,0.1591
0.59,1.12,51,3.6197,0.1997
0.59,1.12,51,5.7227,0.2371
0.59,1.12,51,8.4185,0.2652
0.59,1.12,51,11.1419,0.287
0.59,1.12,51,15.003,0.2995
10.16,2.63,30,0.1812,0.0825
10.16,2.63,30,0.3804,0.1949
10.16,2.63,30,0.6703,0.3299
10.16,2.63,30,0.8515,0.4199
10.16,2.63,30,1.2141,0.5624
10.16,2.63,30,1.6492,0.7349
10.16,2.63,30,2.4109,0.9975
10.16,2.63,30,3.3361,1.2827
10.16,2.63,30,4.2436,1.5005
10.16,2.63,30,5.1876,1.7109
10.16,2.63,30,6.15,1.8689
10.16,2.63,30,7.1671,2.0194
6.05,7.34,30,0.164,0.0303
6.05,7.34,30,0.4919,0.1435
6.05,7.34,30,1.0202,0.2795
6.05,7.34,30,1.1842,0.3398
6.05,7.34,30,1.5486,0.4305
6.05,7.34,30,2.1134,0.5666
6.05,7.34,30,2.7692,0.7253
6.05,7.34,30,3.6073,0.9219
6.05,7.34,30,4.5182,1.0961
6.05,7.34,30,5.4838,1.2479
6.05,7.34,30,6.7591,1.4227
6.05,7.34,30,7.5243,1.5441
7.18,4.48,30,0.3636,0.1048
7.18,4.48,30,0.5818,0.1721
7.18,4.48,30,0.8182,0.232
7.18,4.48,30,1.2182,0.3219
7.18,4.48,30,1.6727,0.4268
